id,chinese,pinyin,english,base_herb,processing,botanical_source,net_content_g,extract_ratio,raw_per_g,raw_per_bag,categories,tcm_functions,contraindications,data_source
1,矮地茶,Ǎi Dì Chá,Ardisia Japonica,矮地茶,,,0.83,6:1,6,5,cough|phlegm|lung|damp|blood_move,"Transform phlegm, stop cough, drain Damp, invigorate Blood and relieve pain",Generally well tolerated; caution in pregnancy,derived
2,艾叶,Ài Yè,Mugwort Leaf,艾叶,,,0.75,4:1,4,3,bleeding|cold|menstrual|women|pain,"Warm the channels, stop bleeding, disperse Cold, relieve pain and calm the fetus",Yin deficiency with Heat; Blood Heat bleeding; large doses may irritate,derived
3,醋艾炭,Cù Ài Tàn,Vinegar-charred Mugwort,醋艾炭,,,0.6,5:1,5,3,bleeding|women|menstrual|cold|astringent,"Vinegar processing and charring together maximise the warm bleeding-stopping action, especially uterine",Blood Heat bleeding; Yin deficiency with Heat,derived
4,巴戟天,Bā Jǐ Tiān,Morinda Root,巴戟天,,,3.57,1.4:1,1.4,5,yang_tonic|kidney|men|bone|joint,"Tonify Kidney Yang, strengthen sinews and bones","Yin deficiency with Heat, damp-heat",curated
5,制巴戟天,Zhì Bā Jǐ Tiān,Processed Morinda Root,巴戟天,制,,3.85,1.3:1,1.3,5,yang_tonic|kidney|men|bone|joint,"Tonify Kidney Yang, strengthen sinews and bones. Processing reduces toxicity and harshness so the herb can be used safely at therapeutic dose.","Yin deficiency with Heat, damp-heat",curated+processed
6,盐巴戟天,Yán Bā Jǐ Tiān,Salt-processed Morinda Root,巴戟天,盐,,4.17,1.2:1,1.2,5,yang_tonic|kidney|men|bone|joint,"Tonify Kidney Yang, strengthen sinews and bones. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.","Yin deficiency with Heat, damp-heat",curated+processed
7,白扁豆,Bái Biǎn Dòu,Hyacinth Bean,白扁豆,,,2,5:1,5,10,spleen|damp|diarrhoea|summerheat|qi_tonic,"Strengthen the Spleen, transform Damp, release summerheat and stop diarrhoea",Cold-Damp with severe stagnation; must be cooked — raw beans are toxic,derived
8,炒白扁豆,Chǎo Bái Biǎn Dòu,Dry-fried Hyacinth Bean,白扁豆,炒,,1.82,5.5:1,5.5,10,spleen|damp|diarrhoea|summerheat|qi_tonic,"Strengthen the Spleen, transform Damp, release summerheat and stop diarrhoea. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Cold-Damp with severe stagnation; must be cooked — raw beans are toxic,derived
9,制白附子,Zhì Bái Fù Zǐ,Processed Typhonium Rhizome,制白附子,,,1.36,2.2:1,2.2,3,wind|phlegm|spasm|facial_palsy,"Dispel Wind-phlegm, stop spasm, resolve toxin and relieve pain",TOXIC — processed form only; pregnancy; Yin deficiency Wind,derived
10,白及,Bái Jí,Bletilla Rhizome,白及,,,0.6,5:1,5,3,bleeding|astringent|wound|lung|gastric,"Astringe, stop bleeding, reduce swelling and generate flesh",Incompatible with 川乌/草乌/附子; early-stage sores with excess,derived
11,百部(对叶百部),Bǎi Bù,Stemona Root,百部,,对叶百部,3.57,1.4:1,1.4,5,cough|lung|parasite|tuberculosis,"Moisten the Lung, descend Qi, stop cough and kill parasites",Spleen deficiency with loose stool; large doses irritate the gut,derived
12,蜜百部(对叶百部),Mì Bǎi Bù,Honey-fried Stemona Root,百部,蜜,对叶百部,4.17,1.2:1,1.2,5,cough|lung|parasite|tuberculosis,"Moisten the Lung, descend Qi, stop cough and kill parasites. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",Spleen deficiency with loose stool; large doses irritate the gut,derived
13,菝葜,Bá Qiā,Smilax China Rhizome,菝葜,,,1.33,7.5:1,7.5,10,damp|toxin|joint|urinary|skin,"Drain Damp, resolve toxin, dispel Wind and free the joints",Yin deficiency; avoid strong tea concurrently,derived
14,白果仁,Bái Guǒ Rén,Ginkgo Seed,白果仁,,,1.61,3.1:1,3.1,5,cough|asthma|lung|discharge|urinary,"Astringe Lung Qi, calm wheezing, stop discharge and reduce urination","TOXIC in quantity — strictly dose-limited, especially in children; cough with excess pathogen",derived
15,百合(卷丹),Bǎi Hé,Lily Bulb,百合,,卷丹,1.2,5:1,5,6,lung|cough|shen|yin_tonic|insomnia,"Moisten the Lung, stop cough, clear the Heart and quiet the Shen",Cough from Wind-Cold; Spleen deficiency with loose stool,derived
